"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
127,"44",575.3,627.7,45.9,582.7,633.1,42.2,529,600.3,48.8,524.2,593,52.2,570.5,606.3,111.1,568.8,600.4,116.3,481,548.1,-2.3,489.2,553.9,-1.9,554.5,773.6,43.3,544.8,766.5,40.9,542.9,602.4,77.1,534.9,596.5,75.1
128,"44",575.3,628.7,48,582.6,634.2,44.3,528.9,601.2,50.9,524.1,593.9,54.2,570.5,606.9,112.9,568.9,601,118.1,481,548.1,-2.3,489.2,553.9,-1.9,554.5,773.6,43.3,544.8,766.5,40.9,542.8,603.1,79.1,534.8,597.1,77.2
129,"44",575.2,629.9,50.1,582.5,635.4,46.4,528.8,602.2,53.2,524,594.9,56.4,570.6,607.6,114.8,568.9,601.7,119.8,481,548.1,-2.3,489.2,553.9,-2,554.5,773.6,43.3,544.8,766.5,40.9,542.6,603.9,81.3,534.7,597.9,79.3
130,"44",575,631.3,52.4,582.3,636.8,48.6,528.7,603.4,55.6,523.9,596.1,58.7,570.6,608.5,116.7,569,602.6,121.7,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542.5,604.8,83.5,534.5,598.9,81.6
131,"44",574.9,632.7,54.6,582.2,638.2,50.8,528.5,604.7,58,523.7,597.4,61.1,570.6,609.5,118.6,569,603.6,123.5,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542.3,606,85.8,534.3,600,83.9
132,"44",574.7,634.3,56.9,582,639.9,53.1,528.4,606.3,60.4,523.5,599,63.5,570.7,610.8,120.4,569.1,604.8,125.3,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542.2,607.3,88.1,534.2,601.4,86.2
133,"44",574.6,636.2,59.1,581.9,641.8,55.3,528.4,608.2,62.8,523.5,600.8,65.8,570.8,612.2,122.3,569.2,606.2,127.1,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542.1,608.9,90.4,534.1,603,88.4
134,"44",574.6,638.3,61.3,581.9,643.9,57.5,528.5,610.4,65.2,523.5,602.9,68.1,570.9,614,124.1,569.3,607.9,128.9,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542,610.7,92.6,534,604.9,90.7
135,"44",574.6,640.6,63.5,581.9,646.2,59.6,528.5,612.7,67.6,523.6,605.3,70.4,571,615.9,125.9,569.5,609.8,130.6,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542,612.8,94.8,534,607,92.9
136,"44",574.6,643.1,65.6,581.9,648.8,61.7,528.6,615.2,69.8,523.6,607.8,72.6,571.2,618.1,127.7,569.7,611.9,132.3,481,548,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542,615,97,534,609.2,95
137,"44",574.7,645.8,67.6,581.9,651.4,63.7,528.6,617.8,71.9,523.6,610.3,74.6,571.4,620.4,129.3,569.9,614.3,133.9,481,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542,617.4,99,534,611.6,97
138,"44",574.7,648.6,69.5,582,654.3,65.6,528.7,620.6,74,523.6,613.1,76.6,571.5,623,130.9,570,616.9,135.4,481,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542,620.1,100.9,534,614.2,99
139,"44",574.9,651.7,71.3,582.1,657.3,67.3,528.8,623.7,75.9,523.8,616.2,78.4,571.7,625.8,132.4,570.2,619.6,136.9,481.1,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,542,622.9,102.8,534,617.1,100.8
140,"44",575.1,654.9,73,582.3,660.6,69.1,529.1,627,77.7,524,619.5,80.2,571.9,628.7,133.9,570.4,622.5,138.2,481.1,548.1,-2.3,489.2,553.9,-2,554.5,773.6,43.3,544.8,766.5,40.9,542.1,625.9,104.4,534.1,620.2,102.5
141,"44",575.4,658.4,74.7,582.6,664.1,70.7,529.4,630.5,79.3,524.2,623,81.8,572,631.8,135.3,570.5,625.5,139.6,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.3,629.2,106.1,534.3,623.4,104.1
142,"44",575.7,662.1,76.3,582.9,667.8,72.3,529.8,634.3,81,524.6,626.8,83.4,572.1,634.9,136.6,570.6,628.6,140.8,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.5,632.6,107.6,534.5,626.9,105.6
143,"44",576.1,665.9,77.9,583.3,671.7,74,530.2,638.3,82.6,525,630.8,84.9,572.3,638.2,137.9,570.7,631.8,142.1,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.8,636.3,109.2,534.7,630.6,107.1
144,"44",576.6,670,79.6,583.8,675.7,75.6,530.6,642.4,84.2,525.4,634.8,86.4,572.4,641.5,139.1,570.8,635.1,143.2,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.6,43.3,544.8,766.5,40.9,543,640,110.6,535,634.4,108.5
145,"44",577,674,81.1,584.3,679.8,77.2,531,646.5,85.6,525.8,638.9,87.8,572.5,645,140.2,570.8,638.5,144.3,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.6,43.3,544.8,766.5,40.9,543.3,643.8,111.9,535.3,638.2,109.8
